"p0","p1","p2","p3","p4","p5","p6"
 1.33945391718827977e+00, 5.25863415198983688e+01, 9.46871962314542182e-01, 4.54148396504509069e-02, 7.58565252043119087e-01, 3.58692104913643988e+01, 2.19737196927083161e-03
 1.33945391718827977e+00, 5.25863415198983688e+01, 9.46871962314542182e-01, 4.54148396504509069e-02, 7.58565252043119087e-01, 3.58692104913643988e+01, 2.19737196927083161e-03
 1.33945391718827977e+00, 5.25863415198983688e+01, 9.46871962314542182e-01, 4.54148396504509069e-02, 7.58565252043119087e-01, 3.58692104913643988e+01, 2.19737196927083161e-03
 1.33945391718827977e+00, 5.25863415198983688e+01, 9.46871962314542182e-01, 4.54148396504509069e-02, 7.58565252043119087e-01, 3.58692104913643988e+01, 2.19737196927083161e-03
 1.33945391718827977e+00, 5.25863415198983688e+01, 9.46871962314542182e-01, 4.54148396504509069e-02, 7.58565252043119087e-01, 3.58692104913643988e+01, 2.19737196927083161e-03
 1.33945391718827977e+00, 5.25863415198983688e+01, 9.46871962314542182e-01, 4.54148396504509069e-02, 7.58565252043119087e-01, 3.58692104913643988e+01, 2.19737196927083161e-03
 1.33945391718827977e+00, 5.25863415198983688e+01, 9.46871962314542182e-01, 4.54148396504509069e-02, 7.58565252043119087e-01, 3.58692104913643988e+01, 2.19737196927083161e-03
 1.33945391718827977e+00, 5.25863415198983688e+01, 9.46871962314542182e-01, 4.54148396504509069e-02, 7.58565252043119087e-01, 3.58692104913643988e+01, 2.19737196927083161e-03
 1.33945391718827977e+00, 5.25863415198983688e+01, 9.46871962314542182e-01, 4.54148396504509069e-02, 7.58565252043119087e-01, 3.58692104913643988e+01, 2.19737196927083161e-03
 1.18311757244159499e+00, 5.22227275655956120e+01, 9.43943507715774954e-01, 3.86909555741248787e-02, 7.37058505732145708e-01, 3.63415083347022190e+01, 8.27724912943611849e-03
 1.18311757244159499e+00, 5.22227275655956120e+01, 9.43943507715774954e-01, 3.86909555741248787e-02, 7.37058505732145708e-01, 3.63415083347022190e+01, 8.27724912943611849e-03
 1.18311757244159499e+00, 5.22227275655956120e+01, 9.43943507715774954e-01, 3.86909555741248787e-02, 7.37058505732145708e-01, 3.63415083347022190e+01, 8.27724912943611849e-03
 1.18311757244159499e+00, 5.22227275655956120e+01, 9.43943507715774954e-01, 3.86909555741248787e-02, 7.37058505732145708e-01, 3.63415083347022190e+01, 8.27724912943611849e-03
 1.18311757244159499e+00, 5.22227275655956120e+01, 9.43943507715774954e-01, 3.86909555741248787e-02, 7.37058505732145708e-01, 3.63415083347022190e+01, 8.27724912943611849e-03
 1.18311757244159499e+00, 5.22227275655956120e+01, 9.43943507715774954e-01, 3.86909555741248787e-02, 7.37058505732145708e-01, 3.63415083347022190e+01, 8.27724912943611849e-03
 1.36658853894704491e+00, 5.20609242001595760e+01, 8.48337671210224742e-01, 5.63029339329375322e-02, 9.58964959597953581e-01, 3.60041256251010395e+01, 7.57846507944262126e-03
 1.36658853894704491e+00, 5.20609242001595760e+01, 8.48337671210224742e-01, 5.63029339329375322e-02, 9.58964959597953581e-01, 3.60041256251010395e+01, 7.57846507944262126e-03
 1.36658853894704491e+00, 5.20609242001595760e+01, 8.48337671210224742e-01, 5.63029339329375322e-02, 9.58964959597953581e-01, 3.60041256251010395e+01, 7.57846507944262126e-03
 1.36658853894704491e+00, 5.20609242001595760e+01, 8.48337671210224742e-01, 5.63029339329375322e-02, 9.58964959597953581e-01, 3.60041256251010395e+01, 7.57846507944262126e-03
 1.36658853894704491e+00, 5.20609242001595760e+01, 8.48337671210224742e-01, 5.63029339329375322e-02, 9.58964959597953581e-01, 3.60041256251010395e+01, 7.57846507944262126e-03
 1.36658853894704491e+00, 5.20609242001595760e+01, 8.48337671210224742e-01, 5.63029339329375322e-02, 9.58964959597953581e-01, 3.60041256251010395e+01, 7.57846507944262126e-03
