"logposterior","loglikelihood","logprior"
-2.90990057897512525e+04,-2.90990057897512525e+04,0.00000000000000000e+00
-2.32567150780504562e+04,-2.32567150780504562e+04,0.00000000000000000e+00
-2.32567150780504562e+04,-2.32567150780504562e+04,0.00000000000000000e+00
-2.32567150780504562e+04,-2.32567150780504562e+04,0.00000000000000000e+00
-2.32567150780504562e+04,-2.32567150780504562e+04,0.00000000000000000e+00
-2.32567150780504562e+04,-2.32567150780504562e+04,0.00000000000000000e+00
-2.32567150780504562e+04,-2.32567150780504562e+04,0.00000000000000000e+00
-2.10848865310655710e+04,-2.10848865310655710e+04,0.00000000000000000e+00
-1.93038680803019015e+04,-1.93038680803019015e+04,0.00000000000000000e+00
-5.75290720277623132e+03,-5.75290720277623132e+03,0.00000000000000000e+00
-5.75290720277623132e+03,-5.75290720277623132e+03,0.00000000000000000e+00
-5.75290720277623132e+03,-5.75290720277623132e+03,0.00000000000000000e+00
-5.75290720277623132e+03,-5.75290720277623132e+03,0.00000000000000000e+00
-5.75290720277623132e+03,-5.75290720277623132e+03,0.00000000000000000e+00
-5.75290720277623132e+03,-5.75290720277623132e+03,0.00000000000000000e+00
-5.75290720277623132e+03,-5.75290720277623132e+03,0.00000000000000000e+00
-5.75290720277623132e+03,-5.75290720277623132e+03,0.00000000000000000e+00
-5.75290720277623132e+03,-5.75290720277623132e+03,0.00000000000000000e+00
-4.19590213061296708e+03,-4.19590213061296708e+03,0.00000000000000000e+00
-3.59972237188452482e+03,-3.59972237188452482e+03,0.00000000000000000e+00
-3.37308094034695796e+03,-3.37308094034695796e+03,0.00000000000000000e+00
-2.97679374866249964e+03,-2.97679374866249964e+03,0.00000000000000000e+00
-2.30166632449088092e+03,-2.30166632449088092e+03,0.00000000000000000e+00
-1.29676285472403220e+03,-1.29676285472403220e+03,0.00000000000000000e+00
-1.29676285472403220e+03,-1.29676285472403220e+03,0.00000000000000000e+00
-1.29676285472403220e+03,-1.29676285472403220e+03,0.00000000000000000e+00
-1.29676285472403220e+03,-1.29676285472403220e+03,0.00000000000000000e+00
