"logposterior","loglikelihood","logprior"
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
-5.87969723871888846e+02,-5.87969723871888846e+02,0.00000000000000000e+00
