"p0","p1","p2","p3","p4"
 3.42685763056175574e+00, 7.97292722308243469e+02, 2.47089538967471656e-01, 3.08025812234713641e+01, 1.37340257789513812e-03
 3.42685763056175574e+00, 7.97292722308243469e+02, 2.47089538967471656e-01, 3.08025812234713641e+01, 1.37340257789513812e-03
 3.42685763056175574e+00, 7.97292722308243469e+02, 2.47089538967471656e-01, 3.08025812234713641e+01, 1.37340257789513812e-03
 3.42685763056175574e+00, 7.97292722308243469e+02, 2.47089538967471656e-01, 3.08025812234713641e+01, 1.37340257789513812e-03
 3.42685763056175574e+00, 7.97292722308243469e+02, 2.47089538967471656e-01, 3.08025812234713641e+01, 1.37340257789513812e-03
 3.42685763056175574e+00, 7.97292722308243469e+02, 2.47089538967471656e-01, 3.08025812234713641e+01, 1.37340257789513812e-03
 3.42685763056175574e+00, 7.97292722308243469e+02, 2.47089538967471656e-01, 3.08025812234713641e+01, 1.37340257789513812e-03
 3.54006763720262718e+00, 7.94880242124733513e+02, 2.50188426307848599e-01, 3.14820203194667947e+01, 3.84032771659607039e-03
 3.54006763720262718e+00, 7.94880242124733513e+02, 2.50188426307848599e-01, 3.14820203194667947e+01, 3.84032771659607039e-03
 3.54006763720262718e+00, 7.94880242124733513e+02, 2.50188426307848599e-01, 3.14820203194667947e+01, 3.84032771659607039e-03
 3.41327647600734707e+00, 7.90122695859188525e+02, 2.43915205014039821e-01, 3.16054473814418273e+01, 1.12161717090175153e-02
 3.41327647600734707e+00, 7.90122695859188525e+02, 2.43915205014039821e-01, 3.16054473814418273e+01, 1.12161717090175153e-02
 3.41327647600734707e+00, 7.90122695859188525e+02, 2.43915205014039821e-01, 3.16054473814418273e+01, 1.12161717090175153e-02
 3.41327647600734707e+00, 7.90122695859188525e+02, 2.43915205014039821e-01, 3.16054473814418273e+01, 1.12161717090175153e-02
 3.41327647600734707e+00, 7.90122695859188525e+02, 2.43915205014039821e-01, 3.16054473814418273e+01, 1.12161717090175153e-02
 3.41327647600734707e+00, 7.90122695859188525e+02, 2.43915205014039821e-01, 3.16054473814418273e+01, 1.12161717090175153e-02
 3.41599637908698650e+00, 7.88105817323878568e+02, 2.50431331390347234e-01, 3.09735576165938653e+01, 1.22689242434972957e-02
 3.41599637908698650e+00, 7.88105817323878568e+02, 2.50431331390347234e-01, 3.09735576165938653e+01, 1.22689242434972957e-02
 3.41651954110659162e+00, 7.87930170805337639e+02, 2.56924194450547760e-01, 3.05743475507908080e+01, 1.42729219680379181e-02
 3.41651954110659162e+00, 7.87930170805337639e+02, 2.56924194450547760e-01, 3.05743475507908080e+01, 1.42729219680379181e-02
 3.41651954110659162e+00, 7.87930170805337639e+02, 2.56924194450547760e-01, 3.05743475507908080e+01, 1.42729219680379181e-02
 3.41651954110659162e+00, 7.87930170805337639e+02, 2.56924194450547760e-01, 3.05743475507908080e+01, 1.42729219680379181e-02
 3.41651954110659162e+00, 7.87930170805337639e+02, 2.56924194450547760e-01, 3.05743475507908080e+01, 1.42729219680379181e-02
 3.41651954110659162e+00, 7.87930170805337639e+02, 2.56924194450547760e-01, 3.05743475507908080e+01, 1.42729219680379181e-02
 3.41651954110659162e+00, 7.87930170805337639e+02, 2.56924194450547760e-01, 3.05743475507908080e+01, 1.42729219680379181e-02
 3.41651954110659162e+00, 7.87930170805337639e+02, 2.56924194450547760e-01, 3.05743475507908080e+01, 1.42729219680379181e-02
 3.41651954110659162e+00, 7.87930170805337639e+02, 2.56924194450547760e-01, 3.05743475507908080e+01, 1.42729219680379181e-02
 3.41651954110659162e+00, 7.87930170805337639e+02, 2.56924194450547760e-01, 3.05743475507908080e+01, 1.42729219680379181e-02
 3.41651954110659162e+00, 7.87930170805337639e+02, 2.56924194450547760e-01, 3.05743475507908080e+01, 1.42729219680379181e-02
 3.41651954110659162e+00, 7.87930170805337639e+02, 2.56924194450547760e-01, 3.05743475507908080e+01, 1.42729219680379181e-02
 3.41651954110659162e+00, 7.87930170805337639e+02, 2.56924194450547760e-01, 3.05743475507908080e+01, 1.42729219680379181e-02
 3.41651954110659162e+00, 7.87930170805337639e+02, 2.56924194450547760e-01, 3.05743475507908080e+01, 1.42729219680379181e-02
 3.41651954110659162e+00, 7.87930170805337639e+02, 2.56924194450547760e-01, 3.05743475507908080e+01, 1.42729219680379181e-02
