"p0","p1","p2","p3","p4","p5","p6"
 1.44850114071868630e+00, 5.18026789704582882e+01, 9.15756426174612281e-01, 4.19346775169274905e-02, 8.67664525361847017e-01, 4.33377957900409285e+01, 2.14868787005562372e-03
 1.49870599472587385e+00, 5.20235491054547410e+01, 8.57978507570092752e-01, 5.95451848196062589e-02, 9.31561353708548534e-01, 4.33072847374720453e+01, 3.03662283853393944e-03
 1.49870599472587385e+00, 5.20235491054547410e+01, 8.57978507570092752e-01, 5.95451848196062589e-02, 9.31561353708548534e-01, 4.33072847374720453e+01, 3.03662283853393944e-03
 1.49870599472587385e+00, 5.20235491054547410e+01, 8.57978507570092752e-01, 5.95451848196062589e-02, 9.31561353708548534e-01, 4.33072847374720453e+01, 3.03662283853393944e-03
 1.49870599472587385e+00, 5.20235491054547410e+01, 8.57978507570092752e-01, 5.95451848196062589e-02, 9.31561353708548534e-01, 4.33072847374720453e+01, 3.03662283853393944e-03
 1.49870599472587385e+00, 5.20235491054547410e+01, 8.57978507570092752e-01, 5.95451848196062589e-02, 9.31561353708548534e-01, 4.33072847374720453e+01, 3.03662283853393944e-03
 1.49870599472587385e+00, 5.20235491054547410e+01, 8.57978507570092752e-01, 5.95451848196062589e-02, 9.31561353708548534e-01, 4.33072847374720453e+01, 3.03662283853393944e-03
 1.39074076438011529e+00, 5.22435633343769723e+01, 7.42049413695583415e-01, 3.69003354754346147e-02, 9.23634670676995895e-01, 4.36824777976293461e+01, 4.66027554451754582e-03
 1.18188003108235296e+00, 5.31852338992688303e+01, 7.69645737990252043e-01, 4.76997785736651345e-02, 8.92049367188668008e-01, 4.45959561660556787e+01, 2.92523415596138842e-03
 1.30170534634823643e+00, 5.29114071586973722e+01, 8.69813130443222393e-01, 4.75760314731088971e-02, 8.02373827506458914e-01, 4.47973120113432373e+01, 1.36666577818470494e-02
 1.30170534634823643e+00, 5.29114071586973722e+01, 8.69813130443222393e-01, 4.75760314731088971e-02, 8.02373827506458914e-01, 4.47973120113432373e+01, 1.36666577818470494e-02
 1.30170534634823643e+00, 5.29114071586973722e+01, 8.69813130443222393e-01, 4.75760314731088971e-02, 8.02373827506458914e-01, 4.47973120113432373e+01, 1.36666577818470494e-02
 1.30170534634823643e+00, 5.29114071586973722e+01, 8.69813130443222393e-01, 4.75760314731088971e-02, 8.02373827506458914e-01, 4.47973120113432373e+01, 1.36666577818470494e-02
 1.30170534634823643e+00, 5.29114071586973722e+01, 8.69813130443222393e-01, 4.75760314731088971e-02, 8.02373827506458914e-01, 4.47973120113432373e+01, 1.36666577818470494e-02
 1.30170534634823643e+00, 5.29114071586973722e+01, 8.69813130443222393e-01, 4.75760314731088971e-02, 8.02373827506458914e-01, 4.47973120113432373e+01, 1.36666577818470494e-02
 1.30170534634823643e+00, 5.29114071586973722e+01, 8.69813130443222393e-01, 4.75760314731088971e-02, 8.02373827506458914e-01, 4.47973120113432373e+01, 1.36666577818470494e-02
 1.30170534634823643e+00, 5.29114071586973722e+01, 8.69813130443222393e-01, 4.75760314731088971e-02, 8.02373827506458914e-01, 4.47973120113432373e+01, 1.36666577818470494e-02
 1.30170534634823643e+00, 5.29114071586973722e+01, 8.69813130443222393e-01, 4.75760314731088971e-02, 8.02373827506458914e-01, 4.47973120113432373e+01, 1.36666577818470494e-02
 1.30474000114331412e+00, 5.27753059222997436e+01, 7.38868887153542153e-01, 6.17721319468528887e-02, 7.05518410735614276e-01, 4.46729782852627793e+01, 2.55777509205262141e-02
 1.19618436335220424e+00, 5.34410263109566301e+01, 7.21080654208938077e-01, 6.47528551750895381e-02, 6.25649034024914341e-01, 4.40960661426160385e+01, 2.81922852747179820e-02
 1.27253423002127142e+00, 5.26222906582106731e+01, 7.19783227030229233e-01, 5.99081316242990117e-02, 6.60663264087036795e-01, 4.40066165087536874e+01, 3.27309912720549004e-02
 1.20098133654435535e+00, 5.18674331198240708e+01, 6.73144636769401172e-01, 5.67024380104426823e-02, 6.43885680272483385e-01, 4.45600174464705745e+01, 3.72509600364837601e-02
 1.07299442905613196e+00, 5.21451895884999388e+01, 7.01091154937762528e-01, 6.14868871198413214e-02, 6.44621344647835381e-01, 4.47930457762556671e+01, 3.51144678305432695e-02
 1.01403664654049797e+00, 5.14152380689683000e+01, 7.02106145500844159e-01, 5.71542712940433101e-02, 5.75563670694410279e-01, 4.44654379910932605e+01, 4.30548713973018110e-02
 1.01403664654049797e+00, 5.14152380689683000e+01, 7.02106145500844159e-01, 5.71542712940433101e-02, 5.75563670694410279e-01, 4.44654379910932605e+01, 4.30548713973018110e-02
 1.01403664654049797e+00, 5.14152380689683000e+01, 7.02106145500844159e-01, 5.71542712940433101e-02, 5.75563670694410279e-01, 4.44654379910932605e+01, 4.30548713973018110e-02
 1.01403664654049797e+00, 5.14152380689683000e+01, 7.02106145500844159e-01, 5.71542712940433101e-02, 5.75563670694410279e-01, 4.44654379910932605e+01, 4.30548713973018110e-02
 1.01403664654049797e+00, 5.14152380689683000e+01, 7.02106145500844159e-01, 5.71542712940433101e-02, 5.75563670694410279e-01, 4.44654379910932605e+01, 4.30548713973018110e-02
 1.01403664654049797e+00, 5.14152380689683000e+01, 7.02106145500844159e-01, 5.71542712940433101e-02, 5.75563670694410279e-01, 4.44654379910932605e+01, 4.30548713973018110e-02
 1.01403664654049797e+00, 5.14152380689683000e+01, 7.02106145500844159e-01, 5.71542712940433101e-02, 5.75563670694410279e-01, 4.44654379910932605e+01, 4.30548713973018110e-02
 1.01403664654049797e+00, 5.14152380689683000e+01, 7.02106145500844159e-01, 5.71542712940433101e-02, 5.75563670694410279e-01, 4.44654379910932605e+01, 4.30548713973018110e-02
 1.01403664654049797e+00, 5.14152380689683000e+01, 7.02106145500844159e-01, 5.71542712940433101e-02, 5.75563670694410279e-01, 4.44654379910932605e+01, 4.30548713973018110e-02
 9.46496880943177854e-01, 5.11861551492367681e+01, 6.62860409845377974e-01, 5.51286096745553025e-02, 5.81909479033020927e-01, 4.50707868904082503e+01, 4.41639351509151221e-02
 9.46496880943177854e-01, 5.11861551492367681e+01, 6.62860409845377974e-01, 5.51286096745553025e-02, 5.81909479033020927e-01, 4.50707868904082503e+01, 4.41639351509151221e-02
 9.46496880943177854e-01, 5.11861551492367681e+01, 6.62860409845377974e-01, 5.51286096745553025e-02, 5.81909479033020927e-01, 4.50707868904082503e+01, 4.41639351509151221e-02
 9.46496880943177854e-01, 5.11861551492367681e+01, 6.62860409845377974e-01, 5.51286096745553025e-02, 5.81909479033020927e-01, 4.50707868904082503e+01, 4.41639351509151221e-02
 9.46496880943177854e-01, 5.11861551492367681e+01, 6.62860409845377974e-01, 5.51286096745553025e-02, 5.81909479033020927e-01, 4.50707868904082503e+01, 4.41639351509151221e-02
 9.46496880943177854e-01, 5.11861551492367681e+01, 6.62860409845377974e-01, 5.51286096745553025e-02, 5.81909479033020927e-01, 4.50707868904082503e+01, 4.41639351509151221e-02
 9.46496880943177854e-01, 5.11861551492367681e+01, 6.62860409845377974e-01, 5.51286096745553025e-02, 5.81909479033020927e-01, 4.50707868904082503e+01, 4.41639351509151221e-02
 9.46496880943177854e-01, 5.11861551492367681e+01, 6.62860409845377974e-01, 5.51286096745553025e-02, 5.81909479033020927e-01, 4.50707868904082503e+01, 4.41639351509151221e-02
 9.46496880943177854e-01, 5.11861551492367681e+01, 6.62860409845377974e-01, 5.51286096745553025e-02, 5.81909479033020927e-01, 4.50707868904082503e+01, 4.41639351509151221e-02
 9.46496880943177854e-01, 5.11861551492367681e+01, 6.62860409845377974e-01, 5.51286096745553025e-02, 5.81909479033020927e-01, 4.50707868904082503e+01, 4.41639351509151221e-02
 9.46496880943177854e-01, 5.11861551492367681e+01, 6.62860409845377974e-01, 5.51286096745553025e-02, 5.81909479033020927e-01, 4.50707868904082503e+01, 4.41639351509151221e-02
 9.46496880943177854e-01, 5.11861551492367681e+01, 6.62860409845377974e-01, 5.51286096745553025e-02, 5.81909479033020927e-01, 4.50707868904082503e+01, 4.41639351509151221e-02
 8.91094609226240175e-01, 5.09565272081221892e+01, 6.33940154692344549e-01, 4.01486494627734600e-02, 5.72601355292589265e-01, 4.60563805973125255e+01, 3.85492489541692865e-02
 8.91094609226240175e-01, 5.09565272081221892e+01, 6.33940154692344549e-01, 4.01486494627734600e-02, 5.72601355292589265e-01, 4.60563805973125255e+01, 3.85492489541692865e-02
 8.91094609226240175e-01, 5.09565272081221892e+01, 6.33940154692344549e-01, 4.01486494627734600e-02, 5.72601355292589265e-01, 4.60563805973125255e+01, 3.85492489541692865e-02
 8.91094609226240175e-01, 5.09565272081221892e+01, 6.33940154692344549e-01, 4.01486494627734600e-02, 5.72601355292589265e-01, 4.60563805973125255e+01, 3.85492489541692865e-02
 8.91094609226240175e-01, 5.09565272081221892e+01, 6.33940154692344549e-01, 4.01486494627734600e-02, 5.72601355292589265e-01, 4.60563805973125255e+01, 3.85492489541692865e-02
 8.91094609226240175e-01, 5.09565272081221892e+01, 6.33940154692344549e-01, 4.01486494627734600e-02, 5.72601355292589265e-01, 4.60563805973125255e+01, 3.85492489541692865e-02
 8.91094609226240175e-01, 5.09565272081221892e+01, 6.33940154692344549e-01, 4.01486494627734600e-02, 5.72601355292589265e-01, 4.60563805973125255e+01, 3.85492489541692865e-02
 8.91094609226240175e-01, 5.09565272081221892e+01, 6.33940154692344549e-01, 4.01486494627734600e-02, 5.72601355292589265e-01, 4.60563805973125255e+01, 3.85492489541692865e-02
 8.91094609226240175e-01, 5.09565272081221892e+01, 6.33940154692344549e-01, 4.01486494627734600e-02, 5.72601355292589265e-01, 4.60563805973125255e+01, 3.85492489541692865e-02
 8.91094609226240175e-01, 5.09565272081221892e+01, 6.33940154692344549e-01, 4.01486494627734600e-02, 5.72601355292589265e-01, 4.60563805973125255e+01, 3.85492489541692865e-02
 8.91094609226240175e-01, 5.09565272081221892e+01, 6.33940154692344549e-01, 4.01486494627734600e-02, 5.72601355292589265e-01, 4.60563805973125255e+01, 3.85492489541692865e-02
