"logposterior","loglikelihood","logprior"
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
-2.00942837137319884e+03,-2.00942837137319884e+03,0.00000000000000000e+00
