"logposterior","loglikelihood","logprior"
-1.96922040794983764e+03,-1.96922040794983764e+03,0.00000000000000000e+00
-1.96922040794983764e+03,-1.96922040794983764e+03,0.00000000000000000e+00
-1.96922040794983764e+03,-1.96922040794983764e+03,0.00000000000000000e+00
-1.96922040794983764e+03,-1.96922040794983764e+03,0.00000000000000000e+00
-1.96922040794983764e+03,-1.96922040794983764e+03,0.00000000000000000e+00
-1.96922040794983764e+03,-1.96922040794983764e+03,0.00000000000000000e+00
-1.96922040794983764e+03,-1.96922040794983764e+03,0.00000000000000000e+00
-1.90990748336971660e+03,-1.90990748336971660e+03,0.00000000000000000e+00
-1.90990748336971660e+03,-1.90990748336971660e+03,0.00000000000000000e+00
-1.90990748336971660e+03,-1.90990748336971660e+03,0.00000000000000000e+00
-1.63838867207142789e+03,-1.63838867207142789e+03,0.00000000000000000e+00
-1.63838867207142789e+03,-1.63838867207142789e+03,0.00000000000000000e+00
-1.63838867207142789e+03,-1.63838867207142789e+03,0.00000000000000000e+00
-1.63838867207142789e+03,-1.63838867207142789e+03,0.00000000000000000e+00
-1.63838867207142789e+03,-1.63838867207142789e+03,0.00000000000000000e+00
-1.63838867207142789e+03,-1.63838867207142789e+03,0.00000000000000000e+00
-1.07324438947547924e+03,-1.07324438947547924e+03,0.00000000000000000e+00
-1.07324438947547924e+03,-1.07324438947547924e+03,0.00000000000000000e+00
-7.40994592474156434e+02,-7.40994592474156434e+02,0.00000000000000000e+00
-7.40994592474156434e+02,-7.40994592474156434e+02,0.00000000000000000e+00
-7.40994592474156434e+02,-7.40994592474156434e+02,0.00000000000000000e+00
-7.40994592474156434e+02,-7.40994592474156434e+02,0.00000000000000000e+00
-7.40994592474156434e+02,-7.40994592474156434e+02,0.00000000000000000e+00
-7.40994592474156434e+02,-7.40994592474156434e+02,0.00000000000000000e+00
-7.40994592474156434e+02,-7.40994592474156434e+02,0.00000000000000000e+00
-7.40994592474156434e+02,-7.40994592474156434e+02,0.00000000000000000e+00
-7.40994592474156434e+02,-7.40994592474156434e+02,0.00000000000000000e+00
-7.40994592474156434e+02,-7.40994592474156434e+02,0.00000000000000000e+00
-7.40994592474156434e+02,-7.40994592474156434e+02,0.00000000000000000e+00
-7.40994592474156434e+02,-7.40994592474156434e+02,0.00000000000000000e+00
-7.40994592474156434e+02,-7.40994592474156434e+02,0.00000000000000000e+00
-7.40994592474156434e+02,-7.40994592474156434e+02,0.00000000000000000e+00
-7.40994592474156434e+02,-7.40994592474156434e+02,0.00000000000000000e+00
-7.40994592474156434e+02,-7.40994592474156434e+02,0.00000000000000000e+00
-7.40994592474156434e+02,-7.40994592474156434e+02,0.00000000000000000e+00
-7.40994592474156434e+02,-7.40994592474156434e+02,0.00000000000000000e+00
-5.93682206410248682e+02,-5.93682206410248682e+02,0.00000000000000000e+00
-5.93682206410248682e+02,-5.93682206410248682e+02,0.00000000000000000e+00
-5.93682206410248682e+02,-5.93682206410248682e+02,0.00000000000000000e+00
-5.93682206410248682e+02,-5.93682206410248682e+02,0.00000000000000000e+00
-5.93682206410248682e+02,-5.93682206410248682e+02,0.00000000000000000e+00
