"logposterior","loglikelihood","logprior"
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.47459132352964843e+02,-5.47459132352964843e+02,0.00000000000000000e+00
-5.48191452727162982e+02,-5.48191452727162982e+02,0.00000000000000000e+00
-5.48191452727162982e+02,-5.48191452727162982e+02,0.00000000000000000e+00
-5.48191452727162982e+02,-5.48191452727162982e+02,0.00000000000000000e+00
-5.48191452727162982e+02,-5.48191452727162982e+02,0.00000000000000000e+00
-5.49136167937934033e+02,-5.49136167937934033e+02,0.00000000000000000e+00
-5.49136167937934033e+02,-5.49136167937934033e+02,0.00000000000000000e+00
-5.49136167937934033e+02,-5.49136167937934033e+02,0.00000000000000000e+00
-5.48256089168121889e+02,-5.48256089168121889e+02,0.00000000000000000e+00
-5.48005472046622913e+02,-5.48005472046622913e+02,0.00000000000000000e+00
-5.47770579983070888e+02,-5.47770579983070888e+02,0.00000000000000000e+00
