"p0","p1","p2","p3","p4","p5","p6"
 5.08428621494643407e-01, 1.28454794596864332e+02, 4.30033533604730622e-01, 5.88275015906673282e+00, 6.88460403263281506e-01, 4.16205427850224652e+01, 6.09800362219574833e-03
 5.08428621494643407e-01, 1.28454794596864332e+02, 4.30033533604730622e-01, 5.88275015906673282e+00, 6.88460403263281506e-01, 4.16205427850224652e+01, 6.09800362219574833e-03
 5.08428621494643407e-01, 1.28454794596864332e+02, 4.30033533604730622e-01, 5.88275015906673282e+00, 6.88460403263281506e-01, 4.16205427850224652e+01, 6.09800362219574833e-03
 5.08428621494643407e-01, 1.28454794596864332e+02, 4.30033533604730622e-01, 5.88275015906673282e+00, 6.88460403263281506e-01, 4.16205427850224652e+01, 6.09800362219574833e-03
 5.08428621494643407e-01, 1.28454794596864332e+02, 4.30033533604730622e-01, 5.88275015906673282e+00, 6.88460403263281506e-01, 4.16205427850224652e+01, 6.09800362219574833e-03
 5.41482663226188321e-01, 1.29842291866036959e+02, 3.70091265007042758e-01, 5.89787075160468977e+00, 7.43693135197001864e-01, 4.20150824347946354e+01, 1.30634310953003478e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
 5.55238465572201245e-01, 1.32193818861247223e+02, 3.47240393885137943e-01, 5.74831111212349288e+00, 8.07017164170697576e-01, 4.17936074191292448e+01, 3.10135542558757360e-02
