"p0","p1","p2","p3","p4","p5","p6"
 5.50317150938873012e-01, 1.21845232454234008e+02, 3.95407545198484367e-01, 5.75867401118471101e+00, 6.54219743010159505e-01, 3.72748457114259040e+01, 6.45338158202065498e-03
 5.77910956771110706e-01, 1.19485887874827313e+02, 4.18029391320200117e-01, 5.90087581944434092e+00, 6.57289942702137364e-01, 3.78339999889427361e+01, 5.32553547266491345e-03
 6.15581980516743732e-01, 1.18879058631563893e+02, 3.63811294469256030e-01, 5.70219492475161616e+00, 6.66095239265902195e-01, 3.72600723924706045e+01, 1.53628935190453803e-02
 6.15581980516743732e-01, 1.18879058631563893e+02, 3.63811294469256030e-01, 5.70219492475161616e+00, 6.66095239265902195e-01, 3.72600723924706045e+01, 1.53628935190453803e-02
 6.15581980516743732e-01, 1.18879058631563893e+02, 3.63811294469256030e-01, 5.70219492475161616e+00, 6.66095239265902195e-01, 3.72600723924706045e+01, 1.53628935190453803e-02
 6.15581980516743732e-01, 1.18879058631563893e+02, 3.63811294469256030e-01, 5.70219492475161616e+00, 6.66095239265902195e-01, 3.72600723924706045e+01, 1.53628935190453803e-02
 6.15581980516743732e-01, 1.18879058631563893e+02, 3.63811294469256030e-01, 5.70219492475161616e+00, 6.66095239265902195e-01, 3.72600723924706045e+01, 1.53628935190453803e-02
 6.15581980516743732e-01, 1.18879058631563893e+02, 3.63811294469256030e-01, 5.70219492475161616e+00, 6.66095239265902195e-01, 3.72600723924706045e+01, 1.53628935190453803e-02
 5.88750267207910682e-01, 1.18489921044985479e+02, 3.00618236587303911e-01, 5.58987080999722696e+00, 5.62561059415905063e-01, 3.82710674809519418e+01, 2.17754901122686854e-02
 5.88750267207910682e-01, 1.18489921044985479e+02, 3.00618236587303911e-01, 5.58987080999722696e+00, 5.62561059415905063e-01, 3.82710674809519418e+01, 2.17754901122686854e-02
 5.88750267207910682e-01, 1.18489921044985479e+02, 3.00618236587303911e-01, 5.58987080999722696e+00, 5.62561059415905063e-01, 3.82710674809519418e+01, 2.17754901122686854e-02
 6.16250258079703017e-01, 1.16524107416792845e+02, 3.53975213913596654e-01, 5.37053426630203923e+00, 6.37772300570722761e-01, 3.85738100550121032e+01, 1.31510993206671624e-02
